Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.07125,0.07125,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,AB30 1,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,05/12/2014,DATA NOT AVAILABLE
ENGLISH MARRIAGE SETTLEMENT TRUST,DRYNACHAN LODGE HYDRO,NAIRN,PERTH AND KINROSS,IV12 5RE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.08835,0.08835,0,15/05/2014,DATA NOT AVAILABLE
ISLE OF ISLAY,ISLAY COMMUNITY WIND,ISLE OF ISLAY,PERTH AND KINROSS,PA43 7JJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3135,0.3135,0,27/11/2014,DATA NOT AVAILABLE
SCOTTISH WATER LIMITED EXPORT,BLAIRLINNANS WTW EXP,ALEXANDRIA,PERTH AND KINROSS,G83 8ND,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,0,26/08/2014,DATA NOT AVAILABLE
AGM FORBES,EAST DENSIDE GENERATION,DUNDEE,PERTH AND KINROSS,DD5 3QE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.247,0.247,0,07/10/2014,DATA NOT AVAILABLE
DREW RATTER,OLLABERRY WIND,SHETLAND,PERTH AND KINROSS,ZE2 9RX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,0,01/10/2014,DATA NOT AVAILABLE
KINGAIRLOCH ESTATE LIMITED,GHARDAIL HYDRO,FORT WILLIAM,PERTH AND KINROSS,PH33 7AE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.09025,0.09025,0.0095,04/06/2014,DATA NOT AVAILABLE
PITCASTLE ESTATE MANAGEMENT LIMITED,PITCASTLE HYDRO SCHEME,STRATHTAY,PERTH AND KINROSS,PH9 0PJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,0,12/11/2015,DATA NOT AVAILABLE
REEKIE RENEWABLES LTD,PARKCONON FARM,ARBROATH,PERTH AND KINROSS,DD11 3SE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.21375,0.21375,0,30/03/2015,DATA NOT AVAILABLE
BALDOWRIE RENEWABLES LTD,GENERATING STATION,BLAIRGOWRIE,PERTH AND KINROSS,PH13 9JT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,DATA NOT AVAILABLE,DATA NOT AVAILABLE
TORRENTIAL POTENTIAL LIMITED,NEATY BURN HYDRO,BEAULY,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,0,10/09/2014,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,HS2 0,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.076,0.076,0.0095,16/07/2014,DATA NOT AVAILABLE
ALFBURN HYDRO LIMITED,BURN HYDRO,MUIR OF ORD,PERTH AND KINROSS,IV6 7XB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,26/09/2014,DATA NOT AVAILABLE
DOCHFOUR ENTERPRISES LIMITED,DOCHFOUR HYDRO,INVERNESS,PERTH AND KINROSS,IV3 8GY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,0,21/08/2015,DATA NOT AVAILABLE
COOP PPA SITES,EAST TOWN WIND EXPORT,STONEHAVEN,PERTH AND KINROSS,AB39 3YR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,04/12/2014,DATA NOT AVAILABLE
COOP PPA SITES,EASTER ABERCHALDER WIND EXPORT,INVERGARRY,PERTH AND KINROSS,IV2 6UJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,05/12/2014,DATA NOT AVAILABLE
CASHEL ELECTRIC COMPANY LIMITED,GENERATING STATION EXPORT,GLASGOW,PERTH AND KINROSS,G63 0AW,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.6175,0.6175,0,30/10/2014,DATA NOT AVAILABLE
SHAKIL HILL LIMITED,NETHER BENHOLM WIND,MONTROSE,PERTH AND KINROSS,DD10 0HU,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,17/12/2014,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,AB54 6,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.171,0.171,0.0076,14/01/2016,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,AB55 5,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.171,0.171,0.0076,11/12/2015,DATA NOT AVAILABLE
GLEN ORCHY HYDRO LTD,HYDRO GENERATING STATION,DALMALLY,PERTH AND KINROSS,PA33 1BD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0855,0.0855,0,16/10/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
WHITEFIELD WIND ENERGY LLP,PARKS OF WHITEFIELD WINDFARM,TURRIFF,PERTH AND KINROSS,AB45 3XP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,06/03/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0855,0.0855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
THE AF GROUP LIMITED,HYDRO GENERATING STATION,ABERFELDY,PERTH AND KINROSS,FK21 8SX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,26/08/2014,DATA NOT AVAILABLE
COOP PPA SITES,WIND GENERATING STATION,THURSO,PERTH AND KINROSS,KW14 8XW,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,13/11/2014,DATA NOT AVAILABLE
COOP PPA SITES,COWIE HILL WIND TURBINE,BANFF,PERTH AND KINROSS,AB45 3DS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,15/12/2014,DATA NOT AVAILABLE
COOP PPA SITES,BADENTOUL WIND TURBINE,BANFF,PERTH AND KINROSS,AB45 2YX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,0,23/02/2015,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,AB53 4,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.21375,0.21375,0,01/12/2014,DATA NOT AVAILABLE
ARBUTHNOTT TURBINES LIMITED,WINDFARM,LAURENCEKIRK,PERTH AND KINROSS,AB30 1NX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,18/12/2014,DATA NOT AVAILABLE
UTHA HYDRO LTD,GENERATING STATION,GLENFINNAN,PERTH AND KINROSS,PH37 4LT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,0.019,01/10/2015,DATA NOT AVAILABLE
RANACHAN HYDRO LTD,ALLT RAINEACHAN HYDRO,LOCHAILORT,PERTH AND KINROSS,PH38 4LZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,0.019,23/09/2015,DATA NOT AVAILABLE
GUNHILL ENERGY LTD,HILL OF DEN,INVERURIE,PERTH AND KINROSS,AB51 5DT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.21375,0.21375,0,12/02/2015,DATA NOT AVAILABLE
DOUBLE B BLADES LLP,WIND GENERATING STATION,TAIN,PERTH AND KINROSS,IV20 1TN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,22/11/2014,DATA NOT AVAILABLE
MONYRUY WIND LIMITED,MONYRUY FARM,PETERHEAD,PERTH AND KINROSS,AB42 4XT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,24/11/2014,DATA NOT AVAILABLE
WEST CRICHIE GREEN ENERGY LTD,WIND GENERATING STATION,ELLON,PERTH AND KINROSS,AB41 8UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,12/12/2014,DATA NOT AVAILABLE
KILFINICHEN FARMS LIMITED,GENERATING STATION,ISLE OF MULL,PERTH AND KINROSS,PA68 6EJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.7505,0.7505,0,30/10/2014,DATA NOT AVAILABLE
GREEN ENERGY MULL LIMITED,GENERATING STATION,ISLE OF MULL,PERTH AND KINROSS,PA65 6BA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,0.0114,DATA NOT AVAILABLE,DATA NOT AVAILABLE
COOP PPA SITES,FEITH HILL FARM,TURRIFF,PERTH AND KINROSS,AB53 4HQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,07/05/2015,DATA NOT AVAILABLE
ACHNASHEEN HYDRO LLP,HYDRO GENERATION STATION,ACHNASHEEN,PERTH AND KINROSS,IV22 2EH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.77425,0.77425,0.019,13/11/2014,DATA NOT AVAILABLE
GREEN HIGHLAND RENEWABLES LIMITED,HYDRO GENERATING STATION,ACHNASHEEN,PERTH AND KINROSS,IV22 2EN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.94905,0.94905,0.0095,18/02/2015,DATA NOT AVAILABLE
WESTER DERRY WIND CO-OPERATIVE LTD,GENERATING STATION,BLAIRGOWRIE,PERTH AND KINROSS,PH11 8JA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,0,08/12/2014,DATA NOT AVAILABLE
SINCLAIR AGRICULTURAL & RECYCLING SERVICES LTD,GENERATING STATION,ELLON,PERTH AND KINROSS,AB41 7RL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,0,13/11/2014,DATA NOT AVAILABLE
CWE JACOBSHALL LTD,JACOBSHALL WIND TURBINE,BANFF,PERTH AND KINROSS,AB45 3JL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3135,0.3135,0,DATA NOT AVAILABLE,DATA NOT AVAILABLE
CNW TURBINE LTD,CRAIGWILLIE FARM,HUNTLY,PERTH AND KINROSS,AB54 4QT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.05035,0.05035,0,31/10/2014,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0855,0.0855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
NFPA 2DATA NOT AVAILABLE23/2DATA NOT AVAILABLE24,CLAYFORDS WIND GENERATING STN,FRASERBURGH,PERTH AND KINROSS,AB43 6RT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,14/04/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1045,0.1045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GREENPOWER (FORDOUN) LTD,FORDOUN SAWMILL,LAURENCEKIRK,PERTH AND KINROSS,AB30 1JR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,0,13/12/2014,DATA NOT AVAILABLE
D W ARGO LIMITED,PURLIEKNOWE WIND GENERATION,STONEHAVEN,PERTH AND KINROSS,DD10 0TQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,21/09/2015,DATA NOT AVAILABLE
AISLING RENEWABLES LTD,DATA NOT AVAILABLE,KINROSS,PERTH AND KINROSS,KY13 0QQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.171,0.171,0,09/12/2014,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0684,0.0684,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SOMERBY ENERGY LIMITED,WIND GENERATING STATION,DINGWALL,PERTH AND KINROSS,IV7 8HH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.38,0.38,0,23/12/2014,DATA NOT AVAILABLE
ORMSARY FARMERS,DRUIMDRISHAIG HYDRO,LOCHGILPHEAD,PERTH AND KINROSS,PA31 8PE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,25/03/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.18525,0.18525,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GAIRLOCH AND CONON GENERAL PARTNERSHIP,GENERATING STATION,GAIRLOCH,PERTH AND KINROSS,IV21 2AJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,0.00475,04/02/2015,DATA NOT AVAILABLE
BRACO RENEWABLES LLP,BRACO PARK,FRASERBURGH,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,0.0095,31/08/2015,DATA NOT AVAILABLE
NFPA 2DATA NOT AVAILABLE23/2DATA NOT AVAILABLE24,AUCHTYGILLS WIND,FRASERBURGH,PERTH AND KINROSS,AB43 6RT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,02/04/2015,DATA NOT AVAILABLE
REDSTART RENEWABLES LIMITED,HYDRO GENERATING STATION,DALMALLY,PERTH AND KINROSS,PA21 2AD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,0,25/03/2015,DATA NOT AVAILABLE
TEUCHAN WIND LIMITED,BRACO FARM,PETERHEAD,PERTH AND KINROSS,AB42 0SL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,27/02/2015,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,AB43 8,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,0.0095,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ALPHA REAL - ELM 2DATA NOT AVAILABLE23 - EXPORT,OLDWHAT MAINS WINDFARM,TURRIFF,PERTH AND KINROSS,AB53 6XA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,30/06/2015,DATA NOT AVAILABLE
CWE DS LIMITED,FERNIEBRAE WIND GENERATING STN,STONEHAVEN,PERTH AND KINROSS,AB39 2XU,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,0,28/04/2015,DATA NOT AVAILABLE
M 4 ENERGY LIMITED,HILLHEAD OF ASCURRY WIND,FORFAR,PERTH AND KINROSS,DD8 2QR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,24/06/2015,DATA NOT AVAILABLE
ACP (SCOT WIND) LTD,SOUTH NITTANSHEAD FARM,FRASERBURGH,PERTH AND KINROSS,AB43 6PJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0.0095,26/08/2015,DATA NOT AVAILABLE
SUNART COMMUNITY RENEWABLES LTD.,HYDRO GENERATING STATION,ACHARACLE,PERTH AND KINROSS,PH36 4HZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,24/09/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.076,0.076,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
LOGIE RENEWABLES LIMITED,LOGIE FARM WIND,STONEHAVEN,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,23/09/2015,DATA NOT AVAILABLE
URLAR,BOLFRACKS ESTATE WIND,ABERFELDY,PERTH AND KINROSS,PH15 2EX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,DD10 0,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,30/06/2015,DATA NOT AVAILABLE
TORLOISK HYDRO LTD,DATA NOT AVAILABLE,ISLE OF MULL,PERTH AND KINROSS,PA74 6NH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0.00475,04/03/2015,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,PA34 5,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0,23/04/2015,DATA NOT AVAILABLE
MIDFEARN HYDRO LLP,EASTER FEARN FARM,ARDGAY,PERTH AND KINROSS,IV24 3DL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.47405,0.47405,0,04/05/2015,DATA NOT AVAILABLE
HOSPITAL SHIELDS ENERGY LIMITED,GENERATING STATION,MONTROSE,PERTH AND KINROSS,DD10 0DS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,14/04/2015,DATA NOT AVAILABLE
MEIKLE CAMALOUN,MEIKLE CAMALOUN WIND TURBINE,TURRIFF,PERTH AND KINROSS,AB53 8JY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ABERDEEN HEAT AND POWER,TILLYDRONE ENERGY CENTRE,ABERDEEN,PERTH AND KINROSS,AB24 2YA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.94525,0.94525,0,DATA NOT AVAILABLE,DATA NOT AVAILABLE
NOVA INNOVATION LIMITED,SHETLAND TIDAL ARRAY,YELL,PERTH AND KINROSS,ZE2 9DE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,12/06/2015,DATA NOT AVAILABLE
CONNELL VENTURES LIMITED,GARROGIE LODGE HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.01425,02/11/2015,DATA NOT AVAILABLE
ORSETT ESTATES LIMITED,GLEN BREIN HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.342,0.342,0.01425,25/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT LUAIDHE (228) LTD,ALLT LUAIDHE HYDRO,INVERNESS,PERTH AND KINROSS,IV2 6UP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.513,0.513,0,20/11/2015,DATA NOT AVAILABLE
CONNELL VENTURES LIMITED,ALLT MOR HYDRO GENERATING STN,INVERNESS,PERTH AND KINROSS,IV2 6UR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3325,0.3325,0,28/10/2015,DATA NOT AVAILABLE
BLAROUR FARM CO,BLAROUR HYDRO GENERATING STN,SPEAN BRIDGE,PERTH AND KINROSS,PH34 4DX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,0.0095,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ACHNACARRY HYDRO LTD,ALLT DUBH HYDRO,SPEAN BRIDGE,PERTH AND KINROSS,PH34 4EL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.7125,0.7125,0.01425,31/03/2016,DATA NOT AVAILABLE
ALBION CAPITAL,GENERATING STATION,SPEAN BRIDGE,PERTH AND KINROSS,PH34 4EJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0.01425,17/03/2016,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT CHOIRE A BHALACHAIN (255) LTD,GENERATING STATION,INVERGARRY,PERTH AND KINROSS,PH35 4HS,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.8075,0.8075,0.0095,26/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALT PHOCACHAIN (1DATA NOT AVAILABLE15) LIMITED,GENERATING STATION,INVERNESS,PERTH AND KINROSS,IV63 7YJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.00475,26/11/2015,DATA NOT AVAILABLE
GREEN HIGHLAND ALLT PHOCACHAIN (1DATA NOT AVAILABLE15) LTD,GENERATING STATION,INVERNESS,PERTH AND KINROSS,IV63 7YJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.00475,18/11/2015,DATA NOT AVAILABLE
JAMM POWER LIMITED,SOUTH CAMALOUN WIND TURBINE,TURRIFF,PERTH AND KINROSS,AB53 8JY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GOLDENEYE RENEWABLES LIMITED,CAIRNDOW,DUNOON,PERTH AND KINROSS,PA23 8SG,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.5225,0.5225,0.0095,10/07/2015,DATA NOT AVAILABLE
THE OUTWARD BOUND TRUST,LOCH EIL OUTWARD BOUND HYDRO,FORT WILLIAM,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0.19,29/10/2015,DATA NOT AVAILABLE
PITMAIN AND GLENBANCHOR LIMITED,PITMAINS LODGE,KINGUSSIE,PERTH AND KINROSS,PH21 1LR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,0.0095,31/10/2015,DATA NOT AVAILABLE
ABERDEEN HEAT AND POWER,STOCKETHILL ENERGY CENTRE,ABERDEEN,PERTH AND KINROSS,AB16 5UL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.94525,0.94525,0.0475,DATA NOT AVAILABLE,DATA NOT AVAILABLE
UPPAT TRUST,UPPAT ESTATE HYDRO,BRORA,PERTH AND KINROSS,KW9 6NJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.09025,0.09025,0.0038,28/01/2016,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GREENPOWER (CARIE) LIMITED,CARIE HYDRO,PITLOCHRY,PERTH AND KINROSS,PH17 2QJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.6175,0.6175,0,27/08/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
BALLIMORE HYDRO LIMITED,BALLIEMORE HYDRO,LOCHEARNHEAD,PERTH AND KINROSS,FK19 8PE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,0.0095,29/09/2017,DATA NOT AVAILABLE
GOWANBANK FARMS LIMITED,DUBTON OF TURIN WIND,ARBROATH,PERTH AND KINROSS,DD8 2TY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0.019,31/03/2016,DATA NOT AVAILABLE
ALLT MOR HYDRO LLP,ALLT MHOR HYDRO,PITLOCHRY,PERTH AND KINROSS,PH16 5PQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3135,0.3135,0,25/08/2015,DATA NOT AVAILABLE
LOCHAILORT HYDRO LIMITED,ALLT A' BHUIRIDH HYDRO,ARISAIG,PERTH AND KINROSS,PH38 4LZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.9025,0.9025,0.0095,15/07/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.40375,0.40375,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
COOP PPA SITES,FOLLOWSTERS FARM WIND,KEITH,PERTH AND KINROSS,AB55 6UY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,21/07/2015,DATA NOT AVAILABLE
CULVIE WIND LIMITED,NEWTON OF CULVIE WIND FARM,HUNTLY,PERTH AND KINROSS,AB53 4NH,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,0.019,22/09/2015,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.08075,0.08075,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1045,0.1045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
COOP PPA SITES,TARLAIR WINDFARM,MACDUFF,PERTH AND KINROSS,AB44 1TA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.4275,0.4275,0,27/08/2015,DATA NOT AVAILABLE
DAMAC ENERGY LIMITED,BIDDRIE FARM,MONTROSE,PERTH AND KINROSS,DD10 0DJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.21375,0.21375,0,01/09/2015,DATA NOT AVAILABLE
LADY WILLOUGHBY TRADING AS DRUMMOND ESTATES,KELTIE HYDRO,CALLANDER,PERTH AND KINROSS,FK17 8LT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.95,0.95,0,17/12/2015,DATA NOT AVAILABLE
URBAN WIND ASSETS LIMITED,GREENHILLOCK WIND,FORFAR,PERTH AND KINROSS,DD8 2NL,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,0,17/12/2015,DATA NOT AVAILABLE
ABRIACHAN ELECTRIC COMPANY LIMITED,ABRIACHAN HYDRO,INVERNESS,PERTH AND KINROSS,IV3 8LA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,0,15/06/2015,DATA NOT AVAILABLE
