Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
INVER FARMERS,DATA NOT AVAILABLE,LOCHGILPHEAD,PERTH AND KINROSS,PA31 8NZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1045,0.1045,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,LAIRG,PERTH AND KINROSS,IV27 4NY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.11875,0.11875,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
REDACTED,REDACTED,REDACTED,PERTH AND KINROSS,PH35 4,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,PITLOCHRY,PERTH AND KINROSS,PH16 5NF,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,CLUNIE DAM,PITLOCHRY,PERTH AND KINROSS,PH16 5NR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ABERFELDY,PERTH AND KINROSS,PH15 2PX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,KILLIN,PERTH AND KINROSS,FK21 8TX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,DALMALLY,PERTH AND KINROSS,PA33 1AN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,DALMALLY,PERTH AND KINROSS,PA33 1AN,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2375,0.2375,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,PITLOCHRY,PERTH AND KINROSS,PH16 5DF,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,OBAN,PERTH AND KINROSS,PA34 4XD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.076,0.076,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ACHNASHEEN,PERTH AND KINROSS,IV22 2HP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.6175,0.6175,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF HARRIS,PERTH AND KINROSS,HS3 3AZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ISLE OF HARRIS,PERTH AND KINROSS,HS3 3AZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ARCHIE CADZOW,WEST COAST CONTRACTORS LTD,OBAN,PERTH AND KINROSS,PA34 4TZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
CRF HYDROPOWER LIMITED - TWIN LOCHS,ASHFIELD FARM,LOCHGILPHEAD,PERTH AND KINROSS,PA31 8PT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.475,0.475,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ASHFIELD MILL,ASHFIELD MILL,ASHFIELD,PERTH AND KINROSS,FK15 0JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.1425,0.1425,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,ULLAPOOL,PERTH AND KINROSS,IV22 2HP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.6175,0.6175,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SCOTTISH WATER,LINTRATHEN WTW - HYDRO - EXP,KIRRIEMUIR,PERTH AND KINROSS,DD8 5JJ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2964,0.2964,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,CLUANIE DAM COMP SET,INVERNESS,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.285,0.285,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,FORT AUGUSTUS,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.57,0.57,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,CULLIGRAN POWER STATION,INVERNESS,PERTH AND KINROSS,IV4 7JX,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,FORT AUGUSTUS,PERTH AND KINROSS,DATA NOT AVAILABLE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.19,0.19,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,DATA NOT AVAILABLE,STRATHPEFFER,PERTH AND KINROSS,IV14 9EB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SSE GENERATION LIMITED,COMP SET IMPORT,STRATHPEFFER,PERTH AND KINROSS,IV14 9EB,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.095,0.095,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
